,Entrance,Clearing
0,2018-01-03 14:07:00,2018-01-03 14:10:00
1,2018-01-03 14:53:00,2018-01-03 14:56:00
2,2018-01-04 09:20:00,2018-01-04 09:23:00
3,2018-01-04 11:12:00,2018-01-04 11:15:00
4,2018-01-04 15:19:00,2018-01-04 15:22:00
5,2018-01-05 10:14:00,2018-01-05 10:17:00
6,2018-01-05 13:31:00,2018-01-05 13:34:00
7,2018-01-08 13:39:00,2018-01-08 13:41:00
8,2018-01-09 09:59:00,2018-01-09 10:02:00
9,2018-01-09 11:41:00,2018-01-09 11:44:00
10,2018-01-09 13:41:00,2018-01-09 13:44:00
11,2018-01-10 09:46:00,2018-01-10 09:49:00
12,2018-01-10 10:56:00,2018-01-10 10:59:00
13,2018-01-10 12:09:00,2018-01-10 12:12:00
14,2018-01-11 10:54:00,2018-01-11 10:57:00
15,2018-01-11 13:10:00,2018-01-11 13:13:00
16,2018-01-12 12:57:00,2018-01-12 13:00:00
17,2018-01-12 14:23:00,2018-01-12 14:26:00
18,2018-01-15 09:26:00,2018-01-15 09:29:00
19,2018-01-15 13:21:00,2018-01-15 13:24:00
20,2018-01-15 14:05:00,2018-01-15 14:08:00
21,2018-01-16 10:06:00,2018-01-16 10:09:00
22,2018-01-16 10:51:00,2018-01-16 10:54:00
23,2018-01-16 11:20:00,2018-01-16 11:23:00
24,2018-01-17 10:26:00,2018-01-17 10:29:00
25,2018-01-17 11:03:00,2018-01-17 11:06:00
26,2018-01-17 11:40:00,2018-01-17 11:43:00
27,2018-01-18 09:31:00,2018-01-18 09:34:00
28,2018-01-18 10:55:00,2018-01-18 10:58:00
29,2018-01-18 13:43:00,2018-01-18 13:46:00
30,2018-01-19 09:11:00,2018-01-19 09:14:00
31,2018-01-19 10:03:00,2018-01-19 10:06:00
32,2018-01-19 10:38:00,2018-01-19 10:41:00
33,2018-01-22 09:47:00,2018-01-22 09:48:00
34,2018-01-22 10:10:00,2018-01-22 10:13:00
35,2018-01-22 11:34:00,2018-01-22 11:36:00
36,2018-01-23 10:34:00,2018-01-23 10:37:00
37,2018-01-23 13:36:00,2018-01-23 13:39:00
38,2018-01-24 09:42:00,2018-01-24 09:45:00
39,2018-01-24 10:34:00,2018-01-24 10:37:00
40,2018-01-24 13:04:00,2018-01-24 13:07:00
41,2018-01-25 09:39:00,2018-01-25 09:42:00
42,2018-01-25 12:02:00,2018-01-25 12:05:00
43,2018-01-25 14:35:00,2018-01-25 14:38:00
44,2018-01-26 09:27:00,2018-01-26 09:30:00
45,2018-01-26 10:29:00,2018-01-26 10:32:00
46,2018-01-26 13:25:00,2018-01-26 13:28:00
47,2018-01-30 09:59:00,2018-01-30 10:02:00
48,2018-01-30 13:22:00,2018-01-30 13:25:00
49,2018-01-30 14:41:00,2018-01-30 14:44:00
50,2018-01-31 09:41:00,2018-01-31 09:44:00
51,2018-01-31 10:15:00,2018-01-31 10:18:00
52,2018-01-31 13:10:00,2018-01-31 13:13:00
53,2018-02-01 10:00:00,2018-02-01 10:03:00
54,2018-02-01 14:29:00,2018-02-01 14:32:00
55,2018-02-01 15:31:00,2018-02-01 15:32:00
56,2018-02-02 09:28:00,2018-02-02 09:31:00
57,2018-02-02 11:21:00,2018-02-02 11:24:00
58,2018-02-02 13:17:00,2018-02-02 13:20:00
59,2018-02-05 09:53:00,2018-02-05 09:54:00
60,2018-02-05 11:29:00,2018-02-05 11:31:00
61,2018-02-05 15:29:00,2018-02-05 15:31:00
62,2018-02-06 09:58:00,2018-02-06 10:01:00
63,2018-02-06 12:44:00,2018-02-06 12:47:00
64,2018-02-06 13:52:00,2018-02-06 13:55:00
65,2018-02-07 10:10:00,2018-02-07 10:13:00
66,2018-02-07 11:38:00,2018-02-07 11:39:00
67,2018-02-07 11:50:00,2018-02-07 11:53:00
68,2018-02-08 09:17:00,2018-02-08 09:20:00
69,2018-02-08 11:21:00,2018-02-08 11:23:00
70,2018-02-08 13:28:00,2018-02-08 13:31:00
71,2018-02-09 09:43:00,2018-02-09 09:44:00
72,2018-02-09 11:18:00,2018-02-09 11:21:00
73,2018-02-09 11:44:00,2018-02-09 11:45:00
74,2018-02-12 09:39:00,2018-02-12 09:42:00
75,2018-02-12 11:26:00,2018-02-12 11:29:00
76,2018-02-12 14:59:00,2018-02-12 15:02:00
77,2018-02-13 10:20:00,2018-02-13 10:23:00
78,2018-02-13 13:42:00,2018-02-13 13:45:00
79,2018-02-13 15:34:00,2018-02-13 15:45:00
80,2018-02-14 09:24:00,2018-02-14 09:27:00
81,2018-02-14 10:07:00,2018-02-14 10:10:00
82,2018-02-14 10:44:00,2018-02-14 10:47:00
83,2018-02-19 10:24:00,2018-02-19 10:27:00
84,2018-02-19 14:35:00,2018-02-19 14:38:00
85,2018-02-20 09:11:00,2018-02-20 09:14:00
86,2018-02-20 10:14:00,2018-02-20 10:17:00
87,2018-02-20 11:01:00,2018-02-20 11:04:00
88,2018-02-21 13:14:00,2018-02-21 13:17:00
89,2018-02-21 13:58:00,2018-02-21 14:01:00
90,2018-02-21 15:13:00,2018-02-21 15:16:00
91,2018-02-22 10:31:00,2018-02-22 10:34:00
92,2018-02-26 10:05:00,2018-02-26 10:08:00
93,2018-02-26 10:58:00,2018-02-26 11:01:00
94,2018-02-26 14:28:00,2018-02-26 14:31:00
95,2018-02-28 09:16:00,2018-02-28 09:19:00
96,2018-03-02 09:43:00,2018-03-02 09:46:00
97,2018-03-05 10:08:00,2018-03-05 10:09:00
98,2018-03-05 10:16:00,2018-03-05 10:19:00
99,2018-03-06 09:58:00,2018-03-06 10:01:00
100,2018-03-07 09:15:00,2018-03-07 09:18:00
101,2018-03-07 13:16:00,2018-03-07 13:19:00
102,2018-03-07 15:12:00,2018-03-07 15:15:00
103,2018-03-09 13:37:00,2018-03-09 13:40:00
104,2018-03-09 14:56:00,2018-03-09 14:59:00
105,2018-03-12 09:45:00,2018-03-12 09:48:00
106,2018-03-16 09:20:00,2018-03-16 09:23:00
107,2018-03-19 10:16:00,2018-03-19 10:19:00
108,2018-03-21 10:55:00,2018-03-21 10:58:00
109,2018-03-21 13:33:00,2018-03-21 13:36:00
